prefill_qo_len,prefill_kv_len,decode_qo_len,decode_kv_len,count,mean,std,variance,min,max,cv
2048,2048,5,20480,3,0.36766933333333335,0.13639218495695907,0.018602828117333332,0.210816,0.458368,37.09642674936065
0,0,4,65536,4,0.504752,0.11989213712333266,0.014374124544000002,0.391808,0.673184,23.75268193084524
122880,122880,1,16384,5,0.6265728,0.11848184112006355,0.014037946675199982,0.508032,0.8064319999999999,18.909509174537106
0,0,5,40960,3,0.3254186666666667,0.11779904280312868,0.013876614485333342,0.256896,0.46144,36.199227282678756
32768,32768,1,16384,2,0.5871040000000001,0.11553559119163248,0.013348472832000025,0.505408,0.6688000000000001,19.67889695385376
2048,2048,4,65536,2,0.7799039999999999,0.11544508152364051,0.013327566848000003,0.698272,0.861536,14.802473318362008
0,0,6,49152,3,0.26493866666666666,0.10328959748848542,0.010668740949333334,0.150048,0.350112,38.98622981274881
512,2669,18,18432,2,0.20995200000000003,0.09960588962506185,0.009921333248000005,0.13952,0.280384,47.44221992532561
512,512,4,65536,2,0.681392,0.09795408818421004,0.009595003391999998,0.612128,0.750656,14.37558529742563
32768,32768,2,16384,3,0.5828373333333333,0.09704382031501714,0.009417503061333333,0.520608,0.6946559999999999,16.65024094173221
24576,7164,2,32768,2,0.43217599999999995,0.09333809511662436,0.008712000000000015,0.3661759999999999,0.498176,21.59724165502645
28672,25956,3,24576,2,0.546576,0.08940092455897754,0.007992525311999992,0.48336,0.609792,16.35654045231057
6144,11277,16,16384,2,0.360448,0.08611994909427201,0.007416645632000001,0.299552,0.421344,23.892475217057534
131072,131072,2,16384,3,0.6645013333333333,0.08377316623676904,0.007017943381333342,0.5680639999999999,0.719264,12.606922216985087
2048,2086,2,32768,2,0.678768,0.0822054059536232,0.00675772876799999,0.6206400000000001,0.736896,12.11097251807867
0,0,6,24576,8,0.230956,0.07618516547015097,0.005804179437714284,0.148448,0.325632,32.986874312494194
8192,8192,2,16384,4,0.653008,0.07558943926237319,0.005713763328000006,0.566016,0.719328,11.575576294746405
122880,122880,1,8192,2,0.453616,0.07405953583435426,0.005484814848000003,0.401248,0.505984,16.326482270913676
28672,8358,1,16384,2,0.27190400000000003,0.07236247955950657,0.005236328448000007,0.220736,0.323072,26.61324567968596
256,612,10,20480,2,0.20198399999999994,0.07037126686368514,0.00495211519999999,0.152224,0.2517439999999999,34.84002041193616
28672,28672,3,24576,2,0.5927199999999999,0.07025812977869532,0.004936204799999995,0.54304,0.6424,11.853510893312494
6144,6144,12,24576,2,0.29665600000000003,0.06858370092084565,0.0047037240320000045,0.24816,0.345152,23.118932668722934
2048,2048,4,16384,2,0.22494399999999998,0.06799538807889842,0.004623372800000001,0.176864,0.273024,30.227695803698136
114688,114688,2,32768,6,0.7970933333333333,0.06772381119419277,0.004586514602666669,0.751968,0.885888,8.49634645700584
8192,8192,1,8192,2,0.41323200000000004,0.06496331420117052,0.0042202321920000035,0.367296,0.459168,15.720784979248878
0,0,4,16384,9,0.28509866666666667,0.0646311043383911,0.004177179647999998,0.11632,0.328032,22.669732226873982
